,"Bollinger bands, mean",Accumulation/Distribution,"Bollinger bands, lower band",MA Exponential,"Envelopes, fist number",Index performance,"MA Convergence/Divergence, first number",Momentum,"Price Channels, first number",Parabolic SAR,SALDO,CHANGE_MONEY,CHANGE_GOV_REMAINS_BR,MOVING_DEBT,CHANGE_BANKS_DEBT,CHANGE_BANKS_REPO_DEBT,MINFIN_FORCURR_OPERATIONS,BR_REG_RESERVES,BR_NETTO,MOSPRIME_ONE_DAY,MOSPRIME_ONE_WEEK,MOSPRIME_TWO_WEEKS,MOSPRIME_ONE_MONTH,MEAN_REPO_KSU_DAY,MEAN_REPO_KSU_WEEK,ROISFIX_ONE_WEEK,ROISFIX_TWO_WEEKS,ROISFIX_ONE_MONTH,MEAN_RTSI,RUONIA,RUREPO_ON,RUREPO_WEEK,RUREPO_TWO_WEEKS,RUREPO_MONTH,GOV_REPO_RATE,MEAN_BANK_RATES,WAP,VALUE,NUMTRADES,MEAN_PARAMS
2017-08-09,8.5585,-53136400000.0,8.5585,8.40661,8.5585,-7.18562,-0.002859493333333329,-0.61,8.435,9.10855,102.0,-16.3,354.9,-41.6,49.2,300.0,2.0,0.0,555.6,8.99,9.11,9.17,9.22,8.855,4.49,8.98,8.98,8.97,1039.8875,8.63,9.33,9.45,9.59,9.72,8.5,8.203666666666667,8.78,3877000000,29,8.692499999999999
2017-08-10,8.5585,-52173000000.0,8.5585,8.45529,8.5585,-3.13493,-0.002859493333333329,-0.45,8.425,9.04621,-452.5,-40.6,-41.8,0.0,0.0,-47.4,2.1,0.0,24.2,8.93,9.13,9.16,9.22,8.77,8.9,8.97,8.98,8.97,1034.8275,8.44,9.38,9.48,9.61,9.73,8.5,8.203666666666667,8.75,3959499750,31,8.51
2017-08-11,8.5585,-52173000000.0,8.5585,8.45529,8.5585,-3.13493,-0.002859493333333329,-0.45,8.425,9.04621,-474.2,-43.7,63.9,0.0,0.0,-13.7,2.1,0.0,47.2,8.68,9.03,9.12,9.18,8.489999999999998,8.825,8.93,8.96,8.96,1020.945,8.35,9.23,9.39,9.47,9.58,8.5,8.203666666666667,8.47,3853500000,30,8.6725
2017-08-14,8.5585,-55839000000.0,8.5585,8.479389999999999,8.5585,-2.23868,-0.002859493333333329,-0.74,8.345,8.98,-521.2,9.0,-54.8,0.0,0.0,-1.7,2.1,0.0,6.8,8.6,8.96,9.06,9.15,8.455,8.725,8.93,8.95,8.96,1028.5425,8.25,9.18,9.33,9.46,9.58,8.5,8.203666666666667,8.5,3725000000,24,8.695
2017-08-15,8.5585,-56240700000.0,8.5585,8.383510000000001,8.5585,-6.89993,-0.002859493333333329,-1.11,8.055,7.0,-528.9,-0.5,-72.2,11.8,0.0,15.4,2.0,-1.7,9.8,8.62,8.98,9.07,9.16,8.555,8.71,8.92,8.95,8.96,1024.865,8.33,9.18,9.36,9.46,9.58,8.5,8.203666666666667,8.55,4576600000,35,8.5775
2017-08-16,8.5585,-63720600000.0,8.5585,8.366810000000001,8.5585,-7.106889999999999,-0.002859493333333329,-0.84,8.055,7.0,-763.4,-10.6,139.3,-41.6,93.9,30.0,2.1,-6.5,-222.2,8.82,9.01,9.08,9.18,8.655000000000001,8.935,8.9,8.93,8.93,1031.2875,8.5,9.29,9.43,9.55,9.71,8.5,8.203666666666667,8.45,7706000000,43,8.175
2017-08-17,8.5585,-72519000000.0,8.5585,8.29345,8.5585,-10.6478,-0.002859493333333329,-1.05,8.055,7.0,-540.9,-28.8,269.7,0.0,0.0,169.0,2.1,0.0,15.3,8.86,9.02,9.08,9.18,8.850000000000003,9.02,8.9,8.93,8.91,1031.93,8.51,9.34,9.47,9.6,9.74,8.5,8.203666666666667,8.85,8504546000,57,8.629999999999999
2017-08-18,8.5585,-72519000000.0,8.5585,8.29345,8.5585,-10.6478,-0.002859493333333329,-1.05,8.055,7.0,-556.1,-17.7,-211.4,0.0,0.0,-310.8,2.1,0.0,-10.0,8.85,9.03,9.07,9.18,8.7,8.92,8.9,8.93,8.91,1026.7975,8.52,9.35,9.46,9.6,9.74,8.5,8.203666666666667,8.72,8798400000,58,8.4625
2017-08-21,8.508000000000001,-92918600000.0,8.508000000000001,8.253810000000001,8.508,-6.2007400000000015,-0.002859493333333329,0.65,8.055,7.08356,-544.8,42.9,8.4,0.0,0.0,-35.2,2.1,0.0,2.6,8.85,9.05,9.07,9.16,8.64,8.905000000000003,8.86,8.9,8.89,1033.22,8.56,9.35,9.46,9.6,9.74,8.5,8.203666666666667,8.67,9151650000,59,8.4875
2017-08-22,8.408,-104384000000.0,8.408,8.02304,8.408,-23.7883,-0.002859493333333329,-0.9,8.055,9.11,-550.1,35.4,162.4,21.6,0.0,45.7,2.1,0.0,-42.9,8.87,9.05,9.07,9.13,8.67,8.915,8.83,8.87,8.88,1036.67,8.57,9.35,9.45,9.58,9.73,8.5,8.203666666666667,8.66,12653950000,95,8.530000000000001
2017-08-23,8.347999999999999,-115004000000.0,8.347999999999999,8.02844,8.347999999999999,-6.95453,-0.002859493333333329,-0.05,8.055,9.0698,-617.9,22.8,-127.4,-40.5,-51.5,-16.0,2.1,0.0,-155.0,8.83,9.05,9.07,9.13,8.39,8.545,8.81,8.85,8.87,1041.14,8.4,9.35,9.45,9.58,9.73,8.5,8.203666666666667,8.4,11465700000,75,7.925000000000001
2017-08-24,8.318,-122063000000.0,8.318,8.14275,8.318,0.293391,-0.002859493333333329,0.2,8.055,9.0304,-464.2,13.0,-178.8,0.0,0.0,0.0,2.1,0.0,102.3,8.7,9.02,9.06,9.13,8.545,8.81,8.81,8.85,8.87,1047.2325,8.37,9.3,9.4,9.52,9.66,8.5,8.203666666666667,8.51,10619685000,69,8.365
2017-08-25,8.318,-122063000000.0,8.318,8.14275,8.318,0.293391,-0.002859493333333329,0.2,8.055,9.0304,-568.8,7.1,-510.6,0.0,0.0,-6.0,2.1,0.0,64.9,8.73,9.01,9.06,9.13,8.665,8.77,8.79,8.82,8.85,1055.8,8.53,9.26,9.39,9.53,9.67,8.5,8.203666666666667,8.63,11517450000,66,8.635
2017-08-28,8.2755,-145768000000.0,8.2755,8.34136,8.275500000000001,-1.88593,-0.002859493333333329,0.0,8.055,8.95396,-634.5,45.5,65.3,0.0,0.0,100.0,2.1,0.0,-5.1,8.75,9,9.05,9.11,8.8,8.85,8.75,8.76,8.83,1065.8825000000004,8.58,9.23,9.38,9.46,9.53,8.5,8.203666666666667,8.82,12006850000,68,8.8075
2017-08-29,8.258000000000001,-157385000000.0,8.258000000000001,8.413089999999999,8.258,-1.93992,-0.002859493333333329,0.1,8.09,7.1,-628.9,26.5,180.2,8.6,0.0,100.1,2.1,0.0,39.9,8.78,9.01,9.05,9.08,8.82,8.86,8.73,8.74,8.81,1066.0325,8.55,9.28,9.35,9.36,9.36,8.5,8.203666666666667,8.84,11698274000,84,8.7525
2017-08-30,8.2305,-168356000000.0,8.2305,8.35047,8.2305,-10.7986,-0.002859493333333329,-0.36,8.125,7.1396,-685.8,10.9,192.1,0.0,70.0,-50.1,2.1,0.0,-7.1,8.8,9.03,9.07,9.1,8.870000000000003,4.465,8.73,8.74,8.8,1075.81,8.56,9.32,9.43,9.49,9.49,8.5,8.203666666666667,8.87,11617059000,85,8.82
2017-08-31,8.295499999999999,-160781000000.0,8.295499999999999,8.46038,8.2955,2.34226,-0.002859493333333329,0.9,8.125,7.22002,-672.9,-2.7,-80.0,0.0,0.0,-98.1,2.1,0.0,-27.0,8.86,9.03,9.07,9.11,8.95,8.91,8.73,8.74,8.76,1087.425,8.71,9.37,9.43,9.49,9.49,8.5,8.203666666666667,8.95,10970500000,50,8.565000000000001
2017-09-01,8.295499999999999,-160781000000.0,8.295499999999999,8.46038,8.2955,2.34226,-0.002859493333333329,0.9,8.125,7.22002,-653.7,-23.2,303.4,0.0,0.0,250.0,2.0,0.0,-260.4,8.93,9.04,9.08,9.12,8.795,8.934999999999997,8.73,8.74,8.75,1099.205,8.78,9.34,9.41,9.47,9.47,8.5,7.8756666666666675,8.79,9529100000,47,8.7825
2017-09-04,8.3705,-175768000000.0,8.3705,8.58264,8.3705,-3.23508,-0.002859493333333329,0.8,8.2,7.41738,-384.0,27.0,2.6,0.0,0.0,49.8,0.0,0.0,-27.2,9.05,9.05,9.07,9.11,9.015,8.87,8.72,8.73,8.72,1094.3225,8.94,9.33,9.39,9.46,9.51,8.5,7.8756666666666675,8.96,11748300000,35,8.940000000000001
2017-09-05,8.3705,-187805000000.0,8.3705,8.54611,8.3705,-6.10311,-0.01008826666666667,0.3,8.675,7.53034,-355.6,5.3,-68.7,0.0,0.0,-167.6,4.1,0.0,-130.2,9,9.08,9.08,9.11,8.92,4.26,8.71,8.73,8.69,1095.735,8.58,9.41,9.45,9.5,9.55,8.5,7.8756666666666675,8.98,11872490000,53,8.91
2017-09-06,8.378,-199182000000.0,8.378,8.50689,8.378,-4.90382,-0.0180528,0.1,8.7,7.63652,-270.3,-13.5,-126.8,-41.2,-113.2,0.0,2.1,0.0,207.9,8.91,9.06,9.05,9.1,8.725,8.815,8.72,8.73,8.65,1100.8525,8.49,9.29,9.39,9.46,9.51,8.5,7.8756666666666675,8.68,12037589000,72,8.639999999999999
2017-09-07,8.3455,-207763000000.0,8.3455,8.405510000000001,8.345500000000001,-9.84212,-0.04126146666666667,0.9,8.59,7.7363300000000015,-474.3,-35.4,19.9,0.0,0.0,-32.7,2.1,0.0,-26.2,8.83,8.99,9.03,9.07,8.615,8.73,8.72,8.7,8.63,1112.04,8.46,9.33,9.44,9.53,9.61,8.5,7.8756666666666675,8.61,11376399000,56,8.5725
2017-09-08,8.3455,-207763000000.0,8.3455,8.405510000000001,8.345500000000001,-9.84212,-0.04126146666666667,0.9,8.59,7.7363300000000015,-450.6,-35.1,115.8,0.0,100.0,-50.3,3.4,0.1,-44.3,8.7,8.9,8.97,9.03,8.495000000000001,8.649999999999999,8.72,8.7,8.63,1117.565,8.42,9.23,9.32,9.43,9.49,8.5,7.8756666666666675,8.6,11902711000,51,8.329999999999998
2017-09-11,8.2445,-234202000000.0,8.2445,8.10193,8.2445,-10.1227,-0.1091266,-0.7,8.22,9.2568,-406.0,13.4,-4.1,0.0,0.0,-50.1,3.4,0.0,-63.4,8.69,8.88,8.94,9,8.545,8.55,8.71,8.69,8.63,1123.82,8.44,9.15,9.24,9.39,9.42,8.5,7.8756666666666675,8.51,12090297000,47,7.8950000000000005
2017-09-12,8.195,-248647000000.0,8.195,7.883539999999999,8.195,-23.1415,-0.1578016666666667,-1.74,8.155000000000001,9.21446,-340.4,-5.7,17.0,11.4,0.0,-51.6,3.4,0.0,-79.2,8.65,8.87,8.9,8.97,8.57,8.61,8.7,8.68,8.62,1125.4825,8.19,9.18,9.32,9.41,9.49,8.5,7.8756666666666675,8.56,14349100000,60,8.2875
2017-09-13,8.23,-235795000000.0,8.23,8.10683,8.23,5.67299,-0.09578137333333332,0.35,8.155000000000001,9.12629,-125.4,-13.0,-191.5,-36.2,-151.2,0.0,3.4,0.0,99.1,8.62,8.74,8.8,8.89,8.209999999999999,8.355,8.7,8.67,8.61,1122.94,8.24,9.16,9.32,9.43,9.53,8.5,7.8756666666666675,8.26,14445005000,79,7.83
2017-09-14,8.27,-236651000000.0,8.27,8.24547,8.27,-0.000298226,-0.056168866666666664,0.1,8.155000000000001,9.1,-243.4,-30.2,-59.2,0.0,0.0,0.0,3.4,0.2,-272.5,8.72,8.75,8.78,8.88,8.575,8.364999999999998,8.68,8.66,8.6,1120.5975,8.61,9.06,9.15,9.25,9.39,8.5,7.8756666666666675,8.51,16806378000,51,8.7125
2017-09-15,8.27,-236651000000.0,8.27,8.24547,8.27,-0.000298226,-0.056168866666666664,0.1,8.155000000000001,9.1,-439.7,-28.6,70.3,0.0,-100.2,97.9,3.4,2.4,67.5,8.82,8.78,8.8,8.87,8.815000000000003,8.7,8.65,8.65,8.59,1122.355,8.69,9.25,9.26,9.3,9.47,8.5,7.8756666666666675,8.76,17975708000,67,8.8
2017-09-18,8.2325,-275046000000.0,8.2325,8.0931,8.2325,-4.59151,-0.08444008666666668,-0.9,8.055,9.0164,-41.0,32.0,459.0,0.0,0.0,99.8,3.4,0.3,351.6,8.42,8.6,8.63,8.69,8.190000000000001,4.18,8.59,8.57,8.53,1121.7225,7.96,9.06,9.17,9.27,9.4,8.5,7.775666666666668,8.26,20697841000,103,8.02
2017-09-19,8.229999999999999,-297504000000.0,8.229999999999999,7.88448,8.23,-18.7193,-0.13073286666666667,-1.75,8.055,8.93614,-391.3,15.9,144.9,0.0,0.0,102.2,3.4,0.0,-574.3,8.38,8.56,8.58,8.68,8.29,8.33,8.57,8.54,8.5,1112.2975,8.04,9.03,9.19,9.3,9.46,8.5,7.775666666666668,8.3,21878078461,95,8.2125
2017-09-20,8.2275,-322969000000.0,8.2275,7.90758,8.2275,-3.6927,-0.1183914,-0.8,8.055,8.8591,416.4,9.1,429.2,-41.5,403.8,-0.1,3.4,0.0,179.9,8.38,8.53,8.55,8.68,8.25,8.364999999999998,8.53,8.5,8.47,1115.875,8.0,9.01,9.19,9.27,9.36,8.5,7.775666666666668,8.26,22458051000,69,7.710000000000001
2017-09-21,8.2125,-365902000000.0,8.2125,7.98607,8.212499999999999,0.23923200000000006,-0.09255798333333333,-0.1,8.055,8.78513,235.6,-7.3,44.1,0.0,0.0,-19.9,3.4,0.0,-30.2,8.37,8.53,8.55,8.68,8.285,8.355,8.51,8.48,8.42,1116.7975,8.02,8.99,9.17,9.29,9.4,8.5,7.775666666666668,8.31,25465238000,56,8.157499999999999
2017-09-22,8.2125,-365902000000.0,8.2125,7.98607,8.212499999999999,0.23923200000000006,-0.09255798333333333,-0.1,8.055,8.78513,264.7,-24.6,222.2,0.0,184.0,-9.1,3.4,0.0,-199.5,8.37,8.55,8.57,8.68,8.39,8.364999999999998,8.51,8.48,8.41,1121.53,7.99,8.99,9.17,9.29,9.4,8.5,7.775666666666668,8.4,43432927000,83,8.352500000000001
2017-09-25,8.1725,-414773000000.0,8.1725,8.09908,8.1725,-1.30164,-0.05388883333333334,0.3,8.055,8.64596,464.2,50.8,-725.4,0.0,0.0,0.2,3.3,0.2,245.8,8.4,8.53,8.55,8.65,8.405000000000001,8.415,8.41,8.39,8.37,1127.225,8.05,8.81,8.89,9.09,9.17,8.5,7.775666666666668,8.41,26374316000,73,8.3675
2017-09-26,8.16,-422427000000.0,8.16,8.16927,8.16,0.166464,-0.03228056666666667,1.31,8.075,8.58053,220.2,32.2,-88.5,13.5,0.0,-79.4,3.4,-0.2,-55.8,8.35,8.53,8.54,8.63,8.379999999999999,8.405000000000001,8.35,8.32,8.32,1133.0525,7.98,8.92,8.99,9.18,9.33,8.5,7.775666666666668,8.38,27496410000,80,8.370000000000001
2017-09-27,8.18,-420217000000.0,8.18,8.23541,8.18,1.02702,-0.012600300000000007,0.6,7.98,7.01,132.4,17.2,58.2,-25.0,9.6,0.2,3.4,-26.6,-13.3,8.42,8.53,8.54,8.63,8.469999999999999,4.235,8.34,8.31,8.32,1126.9775,8.21,8.93,8.98,9.18,9.33,8.5,7.775666666666668,8.45,28162726000,63,8.45
2017-09-28,8.095,-440994000000.0,8.095,8.02833,8.094999999999999,-20.6988,-0.06112504200000001,0.19,7.975,7.0478,108.4,8.6,7.6,0.0,0.0,-2.2,3.4,0.0,14.0,8.65,8.59,8.58,8.65,8.66,4.26,8.3,8.28,8.29,1125.0575,8.47,8.98,9.03,9.23,9.38,8.5,7.775666666666668,8.59,19890970000,62,8.4625
2017-09-29,8.095,-440994000000.0,8.095,8.02833,8.094999999999999,-20.6988,-0.06112504200000001,0.19,7.975,7.0478,94.0,7.7,320.3,0.0,35.0,12.5,3.4,0.0,-22.3,8.7,8.66,8.63,8.66,8.475000000000001,4.33,8.31,8.29,8.3,1130.865,8.49,9.09,9.11,9.32,9.48,8.5,7.775666666666668,8.39,25779285000,77,7.9525
2017-10-02,8.039499999999999,-439046000000.0,8.039499999999999,8.124130000000001,8.0395,3.66891,-0.029774966666666663,-0.11,7.975,7.12115,117.0,28.7,-14.5,0.0,0.0,18.5,3.4,0.0,14.4,8.65,8.64,8.64,8.67,8.344999999999999,8.325,8.29,8.27,8.29,1133.5025,8.25,8.96,8.97,9.18,9.33,8.5,7.270333333333335,8.41,25570050000,56,8.245
2017-10-03,8.03,-447101000000.0,8.03,8.14131,8.03,-1.73364,-0.0228086,0.61,8.05,7.15672,101.8,-5.0,83.4,10.6,0.0,-12.9,3.4,0.0,4.0,8.59,8.65,8.65,8.68,8.364999999999998,8.285,8.32,8.3,8.32,1129.755,8.22,8.92,8.99,9.24,9.42,8.5,7.270333333333335,8.35,10903454056,45,8.5
2017-10-04,8.012500000000001,-453270000000.0,8.012500000000001,8.11304,8.0125,-4.4276,-0.02744323333333333,0.0,8.05,7.19159,68.9,-17.0,14.8,-30.0,8.8,-15.2,3.4,0.0,-75.6,8.44,8.54,8.59,8.68,8.29,8.265,8.33,8.31,8.33,1132.8825000000004,7.99,8.9,8.99,9.24,9.42,8.5,7.270333333333335,8.3,9294070000,54,8.2775
2017-10-05,8.022499999999999,-457407000000.0,8.022499999999999,8.13044,8.0225,-1.31104,-0.02086723333333334,1.15,8.05,7.22576,143.7,-36.2,77.6,0.0,0.0,0.0,3.4,0.3,20.1,8.29,8.47,8.55,8.67,8.16,8.18,8.33,8.31,8.32,1139.0125,7.95,8.85,8.91,9.13,9.28,8.5,7.270333333333335,8.21,8668928000,49,8.155000000000001
2017-10-06,8.022499999999999,-457407000000.0,8.022499999999999,8.13044,8.0225,-1.31104,-0.02086723333333334,1.15,8.05,7.22576,123.1,-32.7,110.2,0.0,26.0,-0.1,3.4,0.0,-304.9,8.44,8.49,8.54,8.66,8.205,8.14,8.32,8.3,8.3,1138.425,8.3,8.85,8.91,9.13,9.28,8.5,7.270333333333335,8.22,12411218000,54,8.235
2017-10-09,8.058,-495905000000.0,8.058,8.03348,8.058,-7.93475,-0.04081305666666667,-0.55,8.05,7.29206,429.4,8.7,150.3,0.0,0.0,0.0,0.0,0.0,-26.5,8.56,8.58,8.58,8.68,8.365,8.275,8.31,8.3,8.3,1131.9525,8.37,8.93,8.99,9.18,9.33,8.5,7.270333333333335,8.34,21748349000,96,8.24
2017-10-10,8.0975,-512596000000.0,8.0975,7.98678,8.0975,-6.54473,-0.04989646666666667,-0.5,8.05,7.324219999999999,118.4,-13.4,-52.0,12.3,0.0,-160.5,7.1,0.0,-140.1,8.52,8.59,8.6,8.68,8.190000000000001,8.315000000000001,8.31,8.3,8.3,1134.115,8.26,8.89,8.97,9.17,9.33,8.5,7.270333333333335,8.21,19749156000,94,8.0875
2017-10-11,8.0625,-518597000000.0,8.0625,8.049430000000001,8.0625,0.665509,-0.031738,0.0,7.9700000000000015,7.35573,633.5,-23.5,-91.3,-31.4,8.2,-100.0,3.5,0.0,460.4,8.3,8.53,8.57,8.66,8.165,8.245000000000001,8.31,8.3,8.3,1138.89,7.92,8.88,8.98,9.18,9.33,8.5,7.270333333333335,8.22,19691755000,81,8.0375
2017-10-12,8.0275,-537186000000.0,8.0275,8.05954,8.0275,-3.14545,-0.027057933333333336,-0.35,8.219999999999999,7.38662,175.0,-52.6,24.5,0.0,0.0,0.0,3.5,0.3,-469.7,8.4,8.48,8.53,8.57,8.315000000000001,8.32,8.24,8.25,8.25,1143.98,8.18,8.78,8.86,9.05,9.19,8.5,7.270333333333335,8.24,19911774000,92,8.32
2017-10-13,8.0275,-537186000000.0,8.0275,8.05954,8.0275,-3.14545,-0.027057933333333336,-0.35,8.219999999999999,7.38662,125.8,-42.3,89.1,0.0,31.8,-0.1,3.5,27.3,-1.2,8.48,8.49,8.52,8.57,8.325,8.325,8.18,8.2,8.2,1150.2800000000002,8.16,8.88,8.95,9.15,9.33,8.5,7.270333333333335,8.34,19289085500,76,8.23
2017-10-16,8.025,-578651000000.0,8.025,7.948110000000002,8.024999999999999,-9.83421,-0.05055086666666666,0.35,8.08,7.44655,647.3,19.1,89.3,0.0,0.0,0.0,3.5,9.4,15.1,8.5,8.52,8.53,8.59,8.335,8.295,8.17,8.18,8.19,1158.17,8.2,8.85,8.95,9.15,9.33,8.5,7.270333333333335,8.32,22973502000,100,8.182500000000001
2017-10-17,8.0725,-577254000000.0,8.0725,7.9584899999999985,8.0725,-4.3932400000000005,-0.04532622333333333,0.2,8.08,7.475619999999998,125.7,8.6,54.4,22.7,0.0,-17.2,3.5,-1.6,-31.8,8.5,8.53,8.56,8.62,8.254999999999999,8.305,8.19,8.18,8.19,1151.435,7.95,8.92,8.99,9.23,9.41,8.5,7.270333333333335,8.21,23657103000,117,7.955
2017-10-18,8.056000000000001,-600029000000.0,8.056000000000001,7.90079,8.056000000000001,-6.50873,-0.05694733333333332,-1.02,8.08,7.5041,193.4,6.4,2.1,-29.9,0.0,0.0,3.5,0.0,24.2,8.28,8.43,8.5,8.59,8.09,8.21,8.13,8.14,8.13,1149.425,7.87,8.74,8.88,9.13,9.28,8.5,7.270333333333335,8.13,25141357000,129,8.075
2017-10-19,8.0285,-606670000000.0,8.0285,7.87063,8.0285,-3.6557,-0.06135453333333332,-0.46,8.08,7.532019999999998,172.1,2.1,15.7,0.0,0.0,0.0,3.5,0.0,-1.1,8.21,8.38,8.44,8.52,7.825,8.05,8.11,8.11,8.09,1143.5125,7.85,8.73,8.83,9.11,9.33,8.5,7.270333333333335,7.99,24401634000,120,7.955
2017-10-20,8.0285,-606670000000.0,8.0285,7.87063,8.0285,-3.6557,-0.06135453333333332,-0.46,8.08,7.532019999999998,173.0,0.8,113.1,0.0,23.0,2.0,3.5,0.0,12.1,8.16,8.33,8.39,8.48,7.775,7.99,8.1,8.09,8.07,1137.9175,7.73,8.61,8.77,9.07,9.33,8.5,7.270333333333335,7.8,24318723000,139,7.86
2017-10-23,7.971,-657348000000.0,7.971,7.8172,7.971,-4.43487,-0.06778666666666666,-0.5,8.03,7.586189999999998,159.9,47.7,61.1,0.0,0.0,7.0,3.5,0.0,-446.6,8.3,8.4,8.42,8.48,8.08,8.055,8.1,8.08,8.04,1133.905,7.98,8.6,8.72,8.93,9.1,8.5,7.270333333333335,8.0,27749278000,91,7.987500000000001
