DATE,OPEN,HIGH,LOW,CLOSE,WAP,LTTIME,VALUE,NUMTRADES
29.11.17,8.23,8.53,8,8,8.38,20:02:36,23993725000,80
30.11.17,8.55,8.56,8,8,8.44,20:03:12,26291156000,105
01.12.17,8.41,8.42,7.75,7.85,7.98,20:02:46,27751870000,178
04.12.17,8.07,8.15,7.65,7.96,8.03,19:43:14,21926459000,122
05.12.17,8.08,8.22,7.5,7.5,8.1,19:47:20,27932151000,132
06.12.17,8.09,8.27,8.05,8.11,8.12,19:46:34,34310547000,110
07.12.17,8.16,8.3,8.1,8.1,8.21,19:39:50,32341060000,132
08.12.17,8.21,8.23,7.88,8.02,8.16,19:43:46,40960944000,181
11.12.17,8.17,8.17,7.75,7.75,8.09,19:42:56,57836955000,238
12.12.17,8.12,8.13,7.25,7.25,8.03,19:37:57,50468814000,201
13.12.17,8.06,8.07,7.87,7.95,8.01,19:48:30,53710953000,211
14.12.17,8.03,8.28,8,8.21,8.05,19:48:55,41732999000,182
15.12.17,8.08,8.15,7,7,8.05,19:32:33,47659939000,205
18.12.17,7.69,7.89,7.31,7.4,7.74,19:42:01,63030091000,263
19.12.17,7.76,7.77,6.16,6.41,7.57,19:33:38,61235433000,315
20.12.17,7.74,7.74,7.35,7.35,7.61,19:42:11,65585421000,287
21.12.17,7.7,8.25,7.51,7.76,7.66,20:07:38,56101428704,203
22.12.17,7.71,7.87,7,7,7.71,19:44:55,47135127000,198
25.12.17,7.7,8.31,7.7,8.05,7.96,19:34:50,30479909000,130
26.12.17,7.85,8,6.01,6.06,7.72,19:43:27,37350185000,203
27.12.17,7.6,7.84,3,6.5,7.51,19:35:26,36830096000,129
28.12.17,7.71,7.76,7,7,7.48,20:14:52,19913525192,111
29.12.17,7.69,7.69,6.9,6.9,7.31,19:55:40,16508897000,104
04.01.18,4,4,4,4,4,19:31:41,572000000,4
05.01.18,4,4,4,4,4,19:39:36,572000000,5
09.01.18,7.64,7.66,6.3,7,7.29,19:40:22,16895574000,134
10.01.18,7.6,7.6,6.6,6.6,7.14,19:47:32,41724232000,298
11.01.18,7.11,7.32,6.76,6.8,7.13,19:44:34,41215759000,253
12.01.18,7.26,7.26,6.69,6.69,7.12,19:37:17,33375699000,160
15.01.18,7.14,8,7.14,7.32,7.2,20:07:03,40549700935,223
16.01.18,7.25,7.51,6.7,6.77,7.36,19:40:05,41626417000,261
17.01.18,7.42,7.45,6.9,6.9,7.3,19:45:33,53666337000,323
18.01.18,7.33,7.4,6.35,6.35,7.25,19:49:40,56196157000,367
19.01.18,7.24,7.33,6.5,7.09,7.13,20:12:39,54994534000,255
22.01.18,7.29,7.34,6.51,7,7.24,19:41:15,57810278000,266
23.01.18,7.2,7.31,6.55,6.55,7,19:46:15,47140154000,244
24.01.18,7.18,7.24,6.3,6.3,6.95,19:48:33,51083694000,248
25.01.18,7.09,7.47,6.99,7.3,7.1,19:44:28,17598006000,121
26.01.18,7.1,7.47,6.66,6.75,7.3,19:47:30,12917888000,102
29.01.18,7.28,7.46,6.5,6.5,7.27,19:37:01,42308795000,244
30.01.18,7.28,7.45,6.5,6.5,7.32,19:36:43,43977208000,204
31.01.18,7.39,7.56,6.57,6.57,7.39,19:33:34,43390120000,150
01.02.18,7.39,7.63,6.5,6.5,7.36,19:47:05,40131742000,295
02.02.18,7.4,7.41,7.03,7.07,7.29,19:35:30,38736187000,216
05.02.18,7.35,7.39,6,6.1,6.96,20:06:38,40188544445,230
06.02.18,7.27,7.39,5.5,6,7.22,19:36:33,47720706000,257
07.02.18,7.25,7.3,6.75,7,7.1,19:35:55,50391896000,287
08.02.18,7.2,7.3,7.01,7.1,7.12,19:38:56,49558035000,273
09.02.18,7.18,7.18,6.75,6.8,7.08,20:12:56,46110524141,257
12.02.18,7,7.1,6.5,6.5,7,19:34:20,54017415000,248
13.02.18,7,7.04,6,6,6.96,19:35:48,53716347000,194
14.02.18,7.01,7.5,7,7.05,7.16,19:31:34,52784164000,212
15.02.18,7.12,7.45,7,7,7.28,19:35:45,43106312000,218
16.02.18,7.39,7.41,7.1,7.1,7.36,19:42:53,56239609000,275
19.02.18,7.4,7.43,7,7,7.36,19:40:53,54464443000,245
20.02.18,7.4,7.44,6.55,6.56,7.25,19:36:32,69780141000,291
21.02.18,7.35,7.4,6.51,6.7,7.16,20:08:00,60339491000,257
22.02.18,7.3,7.5,7.16,7.21,7.23,20:09:05,53151449000,182
26.02.18,7.25,7.5,7.05,7.05,7.3,19:41:39,61576300000,221
27.02.18,7.4,7.5,6.4,6.4,7.35,19:33:28,64882758000,262
28.02.18,7.4,7.6,6.75,7.25,7.39,20:14:04,65498153519,228
01.03.18,7.25,7.5,6.85,6.85,7.38,19:45:15,65880295481,257
